context,target_word,label
весь небосвод был облачен и хмур,облачен,1
"как был облачен тот осенний день, так и остался в моей памяти",облачен,1
Горизонт облачен и не сулит хорошей погоды,облачен,1
"Воздух влажен, и весь свод небесный облачен",облачен,1
"Если внутренний мир твой облачен, то и солнце не в радость",облачен,1
Наш северный край редко бывает не облачен,облачен,1
Пейзаж за окном был уныл и облачен,облачен,1
"Хоть день и облачен, в душе моей - ясная погода",облачен,1
Весь наш архив теперь облачен и доступен из любой точки мира,облачен,1
"Этот сервис полностью облачен, что делает его очень гибким",облачен,1
наш новый проект с самого начала был облачен,облачен,1
"Чтобы сэкономить на серверах, весь бизнец-процесс был облачен",облачен,1
Бухгалтерский софт теперь облачен и не требует установки на компьютер,облачен,1
Он облачен в цельнометаллический корпус и оснащён основной камерой с кольцевой вспышкой.,облачен,0
"Маг был облачен в накидку, которая драматично развевалась, пока он выступал.",облачен,0
"Он, скорее всего, получит дисплей диагональю около 5 дюймов и будет облачен в металлический корпус.",облачен,0
Великий святой облачен в простое скромное монашеское одеяние.,облачен,0
Он облачен в так называемые гринвичские доспехи.,облачен,0
Святой облачен в богатые доспехи и длинный красный плащ с многочисленными складками сложного изысканного рисунка.,облачен,0
"Сэм облачен в футуристический боевой костюм, прекрасно вооружен и очень серьезно настроен.",облачен,0
"Рыжеволосый пухлый ребенок облачен во все белое: ботинки, платье и чепчик.",облачен,0
"Облачен камерарий был не в тяжелое одеяние, как можно было ожидать, а в простую сутану, которая подчеркивала атлетизм его фигуры.",облачен,0
"Когда Алеша был облачен во все парадное и прощался навсегда со степью, а Абдулка усаживал его в мотоцикл и должны они были ехать прямиком в Караганду, где обещан был Холмогорову вечный железный зуб, глухой спохватился и до испуга удивился своему открытию: «Вот и все!»",облачен,0
Лука Лукич облачен в чистый канифасовый халат.,облачен,0
"Он облачен в ярко-красную мантию, широкими складками окутывающую его фигуру.",облачен,0
Он облачен в традиционное античное одеяние.,облачен,0
Поэтому она не может представлять непосредственной угрозы ничьей национальной безопасности.,ничьей,3
Она никогда не была ничьей марионеткой.,ничьей,3
"В этом не было ничьей вины, но я чувствовала себя обделенной.",ничьей,3
он никогда не нарушал ничьей свободы.,ничьей,3
